dataset,dataset_class,canonical_crop,canonical_disease,pathogen_name,pathogen_type,candidate_action_class,action_summary,source_name,source_url,source_identifier,evidence_summary,evidence_checked_at,mapping_confidence,review_status,review_notes,reviewer,reviewed_at
PlantDoc,Tomato Septoria leaf spot,tomato,septoria leaf spot,Septoria lycopersici,fungal,fungicide,Sanitation; rotate away from tomato 2+ yr; reduce leaf wetness; preventive fungicides.,NC State Extension Publications,https://content.ces.ncsu.edu/septoria-leaf-spot-of-tomato,septoria-leaf-spot-of-tomato,'Septoria leaf spot is caused by the fungus Septoria lycopersici.' / 'Rotate away from tomato for 2 or more years.',2026-07-28,high,needs_review,No UC IPM page for tomato Septoria; .edu extension fallback.,,
PlantDoc,Tomato leaf bacterial spot,tomato,bacterial spot,Xanthomonas campestris pv. vesicatoria,bacterial,copper_sanitation,Pathogen-free seed/transplants (best); avoid sprinklers; rotate nonhost; copper protectant only.,UC IPM Pest Management Guidelines — Tomato (Bacterial Spot),https://ipm.ucanr.edu/agriculture/tomato/bacterial-spot/,bacterial-spot,"'Using pathogen-free seed and disease-free transplants, when possible, is the best way to avoid bacterial spot on tomato.'",2026-07-28,high,needs_review,Modern taxonomy splits bacterial-spot xanthomonads into ~4 species.,,
PlantDoc,Tomato leaf late blight,tomato,late blight,Phytophthora infestans,oomycete,fungicide,Resistant varieties; remove volunteers; avoid sprinklers; protectant fungicide before onset.,UC IPM Pest Management Guidelines — Tomato (Late Blight),https://ipm.ucanr.edu/agriculture/tomato/late-blight/,late-blight,'Apply a protectant fungicide before disease development begins...',2026-07-28,high,needs_review,"OOMYCETE, not a true fungus. Maps to fungicide per brief §3.1.",,
PlantDoc,Tomato leaf yellow virus,tomato,tomato yellow leaf curl,"Tomato yellow leaf curl virus (TYLCV, begomovirus)",viral,remove_vector,Resistant varieties; virus-/whitefly-free transplants; whitefly control; rogue infected plants.,UC IPM Pest Management Guidelines — Tomato (Tomato Yellow Leaf Curl),https://ipm.ucanr.edu/agriculture/tomato/tomato-yellow-leaf-curl/,tomato-yellow-leaf-curl,'Select TYLCV-resistant varieties. Use virus- and whitefly-free transplants.',2026-07-28,high,needs_review,Whitefly (Bemisia)-transmitted -> cleanly maps to remove_vector. Independently spot-verified.,,
PlantDoc,Tomato mold leaf,tomato,leaf mold,Fulvia fulva (Passalora fulva / Cladosporium fulvum),fungal,fungicide,Resistant (Cf-gene) varieties; lower humidity (spacing/airflow); sanitation; preventive fungicides.,University of Missouri IPM,https://ipm.missouri.edu/mpg/index.cfm?ID=81,index.cfm?ID=81,"'Leaf mold is caused by the fungus Fulvia fulva' / 'Fungicides are preventatives, not curatives.'",2026-07-28,high,needs_review,No UC IPM leaf-mold page; university IPM fallback.,,
PlantDoc,Bell_pepper leaf spot,pepper,bacterial spot,Xanthomonas campestris pv. vesicatoria,bacterial,copper_sanitation,Indexed/treated seed or clean transplants; rotate out of peppers ≥1 yr; drip not overhead; copper.,UC IPM Pest Management Guidelines — Peppers (Bacterial Spot),https://ipm.ucanr.edu/PMG/r604100311.html,r604100311.html,"'Use indexed pathogen-negative seed, treated seed, or disease-free transplants. Rotate out of peppers for at least 1 year.'",2026-07-28,high,needs_review,,,
PlantDoc,Tomato leaf mosaic virus,tomato,tomato mosaic,"Tomato mosaic virus (ToMV, tobamovirus)",viral,remove_vector,Treated seed; extreme sanitation; resistant cultivars. Mechanically transmitted — NOT insect-vectored.,UC IPM Pest Management Guidelines — Tomato (Tobacco Mosaic),https://ipm.ucanr.edu/agriculture/tomato/tobacco-mosaic/,tobacco-mosaic,'Use seed that has been treated to eliminate seedborne inoculum. Extreme sanitation is needed.',2026-07-28,medium,needs_review,"AMBIGUOUS: viral, but no insect vector to remove — the 'control vector' half of remove_vector does not apply; management is seed treatment + roguing/sanitation. Reviewer must decide remove_vector vs a sanitation action.",,
PlantDoc,Tomato two spotted spider mites leaf,tomato,twospotted spider mite,Tetranychus urticae,mite,monitor,Conserve natural enemies; water sprays; selective miticides (soap/oil) only when needed; monitor.,UC IPM Pest Notes — Spider Mites,https://ipm.ucanr.edu/home-and-landscape/spider-mites/,spider-mites,"'If a treatment for mites is necessary, use selective materials, preferably insecticidal soap or insecticidal oil.'",2026-07-28,medium,excluded,"Excluded under policy:arthropod-pest-scope-v1 (reports/ARTHROPOD_PEST_EVALUATION_SCOPE.md): Tetranychus urticae is an arthropod pest, not a plant pathogen. The class remains diagnosis-eligible and its images and manifest rows are retained; it is out of scope for disease-action and risk-weighted disease evaluation, so no canonical action-mapping row is emitted. Reviewed by human_reviewer_1.",human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Apple leaf,apple,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Bell_pepper leaf,pepper,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Blueberry leaf,blueberry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Cherry leaf,cherry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Peach leaf,peach,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Raspberry leaf,raspberry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Soyabean leaf,soybean,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Strawberry leaf,strawberry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,Tomato leaf,tomato,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
PlantDoc,grape leaf,grape,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00
